liquidfuel,mass,lx11,lx12,lx13,lx21,lx22,lx23,lx31,lx32,lx33,ex,ey,ez
1886.45361328125,31049.52734375,1.13763225e6,-227.58108520507812,-1.0081455707550049,-227.58114624023438,12756.3408203125,151.79437255859375,-1.0081157684326172,151.79449462890625,1.137634625e6,-0.0011452452418163617,-8.29947439662613,0.0006811575046395124
1882.957275390625,31010.6796875,1.136441e6,-227.694091796875,-1.0062828063964844,-227.694091796875,12740.009765625,151.4737548828125,-1.0062754154205322,151.47381591796875,1.136443375e6,-0.0011475388327699676,-8.298128140645616,0.0006801449143757632
1879.461181640625,30971.8359375,1.13525e6,-227.64515686035156,-1.0041520595550537,-227.64515686035156,12723.7353515625,151.54110717773438,-1.004144549369812,151.5409393310547,1.1352525e6,-0.0011475438152075412,-8.296778389975175,0.0006815879278124493
1875.9649658203125,30932.98828125,1.134054875e6,-222.81271362304688,-0.29612332582473755,-222.81265258789062,12705.962890625,157.1446075439453,-0.2961307764053345,157.14454650878906,1.134057625e6,-0.001137274340841543,-8.29541352448249,0.0007013847596573364
1872.4688720703125,30894.140625,1.132861875e6,-228.11282348632812,0.12022256851196289,-228.11282348632812,12688.8701171875,150.34706115722656,0.12023746967315674,150.34693908691406,1.1328645e6,-0.0011529746112968198,-8.294050285882815,0.0006789288332348653
1869.555419921875,30861.771484375,1.1318675e6,-228.28001403808594,0.3378838300704956,-228.28018188476562,12674.8544921875,149.64532470703125,0.33786892890930176,149.64532470703125,1.13187e6,-0.0011549835187461,-8.292912904390562,0.0006764477854046269
1866.059326171875,30822.92578125,1.13067475e6,-226.65762329101562,0.5360469222068787,-226.6575164794922,12658.10546875,152.0530548095703,0.5360618233680725,152.05311584472656,1.13067725e6,-0.0011522940227193246,-8.291545392134529,0.0006870398690551061
1862.56298828125,30784.076171875,1.12948225e6,-227.33741760253906,0.6618127226829529,-227.33729553222656,12641.5244140625,151.31784057617188,0.661805272102356,151.31771850585938,1.129485375e6,-0.0011565122683672158,-8.29017865987558,0.000684749106821203
1859.06689453125,30745.23046875,1.128291125e6,-227.90777587890625,0.7210448384284973,-227.9078369140625,12625.1748046875,149.94436645507812,0.7210299372673035,149.94436645507812,1.12829375e6,-0.0011626806163658188,-8.288809101600133,0.0006764635589799894
1855.5706787109375,30706.384765625,1.127099375e6,-227.3946990966797,0.7369294762611389,-227.39476013183594,12608.8427734375,150.07525634765625,0.7368922233581543,150.0751953125,1.127101625e6,-0.0011632576932179006,-8.287438832025076,0.0006773796584703118
